E-Value  Score  Seq-Id  TMH  Total_aa  TMD
3.3e-23  85.4  NP_001338225  2  17  1581  2
3.3e-23  85.4  NP_001338226  2  17  1580  2
1.7e-28  102.6  NP_009099  1  17  1581  2
6e-32  113.7  NP_001185863  2  17  1492  2
3.7e-32  114.4  NP_001337447  2  8  1048  2
5.8e-32  113.8  NP_258261  2  16  1464  2
6.3e-32  113.7  XP_011513276  2  17  1543  2
2.6e-32  114.9  XP_011513287  1  6  841  1
2.6e-32  114.9  XP_011513288  1  6  841  1
6.4e-32  113.7  XP_016866934  2  17  1558  2
6.1e-32  113.7  XP_016866935  2  17  1507  2
6.1e-32  113.7  XP_016866936  2  17  1507  2
5.5e-27  97.6  XP_016866937  1  17  1501  2
5.5e-27  97.6  XP_016866938  1  17  1501  2
1.2e-19  73.9  XP_016866939  1  17  1494  2
1.1e-19  73.9  XP_016866940  1  17  1462  2
1e-19  74.1  XP_016866942  1  16  1334  2
3.8e-32  114.4  XP_016866943  2  8  1063  2
3.8e-32  114.4  XP_016866944  2  8  1063  2
2.6e-32  114.9  XP_016866945  1  6  841  1
7e-25  90.8  NP_005682  2  17  1549  2
7e-25  90.8  NP_064693  2  17  1549  2
7e-25  90.8  XP_005253341  2  17  1549  2
7e-25  90.8  XP_005253343  2  17  1549  2
7e-25  90.8  XP_005253344  2  17  1549  2
7e-25  90.8  XP_005253345  2  17  1549  2
4.2e-24  88.3  XP_005253346  2  17  1536  2
4.2e-24  88.3  XP_006719088  2  17  1536  2
7e-25  90.8  XP_011518847  2  17  1549  2
4.7e-29  104.4  NP_004987  2  17  1531  2
4.6e-29  104.4  XP_011520799  2  17  1523  2
4.7e-29  104.3  XP_016878726  2  17  1549  2
4.6e-29  104.4  XP_016878727  2  17  1507  2
4.6e-29  104.4  XP_016878728  2  15  1503  2
4.4e-29  104.4  XP_016878730  2  15  1461  2
3.3e-22  82.1  XP_016878732  1  11  931  1
5.5e-26  94.4  NP_000383  2  16  1545  2
4.4e-26  94.7  XP_006717693  1  11  1313  2
1.1e-20  77.2  XP_006717694  1  11  895  1
1.1e-20  77.2  XP_011537593  1  11  916  1
1.1e-20  77.2  XP_016871164  1  11  892  1
6.9e-27  97.3  NP_003777  2  17  1527  2
2.1e-31  111.9  NP_001162  2  16  1503  2
1.9e-31  112.1  NP_001338729  2  14  1389  2
2.1e-31  112.0  XP_011520781  2  16  1492  2
1.9e-31  112.1  XP_011520782  2  14  1389  2
1.9e-31  112.1  XP_011520783  2  14  1389  2
1.7e-20  76.6  XP_016878703  1  15  1166  2
2.2e-31  111.9  XP_024306029  2  16  1515  2
4.1e-24  88.3  XP_005253347  2  17  1502  2
4.6e-29  104.4  XP_011520800  2  17  1500  2
4.5e-29  104.4  XP_016878729  2  17  1490  2
1e-33  119.5  NP_000483  2  12  1480  2
2e-31  112.0  XP_016878701  2  17  1447  2
1.6e-31  112.4  NP_001306961  2  6  965  1
2.7e-31  111.6  NP_005679  2  13  1437  2
2.7e-31  111.6  XP_005247115  2  13  1437  2
2.7e-31  111.6  XP_005247116  2  13  1437  2
2.7e-31  111.6  XP_011510616  2  13  1437  2
5.1e-19  71.8  XP_011510617  1  13  1364  2
2.3e-31  111.9  XP_016860981  2  13  1259  2
2.3e-31  111.9  XP_024309054  2  13  1259  2
4.3e-29  104.5  XP_016878731  1  17  1434  1
2.2e-29  105.4  NP_001357425  2  13  1384  2
2.2e-29  105.4  NP_001357426  2  13  1382  2
2.2e-29  105.4  NP_115972  2  13  1382  2
2.2e-29  105.4  NP_149163  2  13  1382  2
4.7e-18  68.6  NP_660187  1  13  1344  2
1.5e-29  105.9  XP_011521699  2  8  1063  2
9.1e-30  106.7  XP_011521700  1  6  759  1
2.2e-29  105.4  XP_016879286  2  13  1382  2
2.2e-29  105.4  XP_016879287  2  13  1382  2
2.2e-29  105.4  XP_016879288  2  13  1382  2
2.2e-29  105.4  XP_016879289  2  13  1382  2
1.5e-29  105.9  XP_016879291  2  8  1063  2
2.5e-18  69.6  XP_016879292  1  8  851  2
1.5e-29  105.9  XP_024306243  2  8  1063  2
1.6e-39  138.3  NP_000434  2  12  1279  2
1.6e-39  138.3  NP_061337  2  12  1286  2
1.8e-39  138.1  XP_011514610  2  12  1384  2
1.8e-39  138.2  XP_011514611  2  12  1377  2
1.3e-39  138.6  XP_011514617  2  9  1074  2
1.7e-39  138.3  XP_016867812  2  12  1294  2
6.9e-28  100.6  NP_150229  2  13  1359  2
6.9e-37  129.8  NP_003733  2  12  1321  2
7e-37  129.8  XP_006712880  2  12  1335  2
7.1e-37  129.7  XP_011510379  2  12  1355  2
7.1e-37  129.7  XP_011510380  2  12  1355  2
4.2e-37  130.5  XP_011510382  1  8  936  2
2.9e-36  127.7  XP_011510383  1  6  763  1
6.9e-37  129.8  XP_016860654  1  12  1314  2
5.3e-37  130.1  XP_016860655  2  9  1098  2
4.1e-37  130.5  XP_016860656  2  6  916  1
8.7e-40  139.2  NP_000918  2  12  1280  2
8.7e-40  139.2  NP_001335873  2  12  1280  2
9.3e-40  139.1  NP_001335874  2  12  1350  2
8.7e-40  139.2  NP_001335875  2  12  1280  2
1.8e-39  138.2  XP_011514612  2  12  1349  2
2.1e-29  105.5  XP_016879290  2  13  1346  2
1.6e-39  138.4  NP_061338  1  11  1232  2
1.7e-39  138.2  XP_011514613  1  11  1341  2
1.7e-39  138.2  XP_011514614  1  11  1337  2
1.7e-39  138.2  XP_011514615  1  11  1322  2
2.4e-23  85.8  NP_001098985  1  9  859  2
1.3e-30  109.4  NP_005836  2  12  1325  2
1.2e-30  109.5  XP_005254082  2  12  1282  2
1.2e-30  109.5  XP_016875808  2  12  1282  2
2.3e-23  85.9  XP_016875809  1  8  830  2
6.4e-31  110.4  XP_016875810  1  6  820  1
2.2e-23  85.9  XP_016875811  1  9  816  2
1.2e-30  109.5  NP_001288758  2  12  1278  2
2.5e-37  131.2  NP_001157413  2  12  1257  2
7.4e-37  129.7  NP_848654  1  6  812  1
7.4e-37  129.7  XP_011513669  1  6  812  1
2.5e-36  127.9  NP_005680  1  11  842  1
2.3e-36  128.1  NP_001336757  1  9  796  1
2.1e-23  86.0  NP_001288759  1  7  784  2
1.4e-33  119.1  NP_001258625  1  6  752  1
1.3e-33  119.2  NP_001258627  1  6  726  1
1.4e-33  119.1  NP_004290  1  6  753  1
3.9e-36  127.3  NP_036221  1  6  738  1
2.4e-36  128.0  XP_011542437  1  5  559  1
1.5e-36  128.7  XP_011542438  1  3  442  1
5.7e-33  117.1  NP_001269220  1  6  735  1
4.4e-33  117.4  NP_001269222  1  6  630  1
5.4e-33  117.1  NP_009119  1  6  718  1
1.2e-33  119.2  NP_001258626  1  5  712  1
1.3e-33  119.2  NP_001258628  1  5  713  1
9e-30  106.7  NP_004906  1  6  678  1
8.7e-30  106.7  NP_058198  1  6  666  1
9e-30  106.7  NP_997057  1  6  677  1
8.8e-30  106.7  NP_997510  1  6  668  1
8.2e-30  106.8  NP_997511  1  6  644  1
8.7e-30  106.7  NP_997512  1  6  663  1
9.2e-30  106.6  XP_011528108  1  6  689  1
8.2e-30  106.8  XP_011528109  1  5  641  1
6.5e-17  64.9  NP_002849  1  6  659  1
6.9e-17  64.9  XP_006710865  1  6  683  1
5.3e-30  107.4  NP_001344250  1  6  672  1
5.3e-30  107.4  NP_071882  1  6  673  1
5.3e-30  107.4  XP_011531331  1  6  677  1
5.3e-30  107.4  XP_011531332  1  6  676  1
8.1e-27  97.1  NP_071881  1  6  651  1
6.1e-27  97.5  XP_005264537  1  5  558  1
6.8e-27  97.3  XP_006712136  1  5  593  1
3.3e-22  82.1  XP_011531327  1  6  570  1
1.4e-26  96.3  NP_001135977  1  6  646  1
1.4e-26  96.3  NP_001335120  1  6  646  1
1.2e-26  96.5  NP_001335121  1  6  585  1
1.4e-26  96.3  NP_071452  1  6  646  1
1.2e-26  96.6  XP_011541254  1  6  582  1
2.7e-25  92.1  NP_005683  0  0  0  0
2.6e-25  92.2  NP_009120  0  0  0  0
7.1e-27  97.3  XP_011531326  1  6  606  1
8.5e-21  77.5  XP_011531328  1  6  561  1
2.1e-27  99.0  XP_006712137  0  0  0  0
