E-Value  Score  Seq-Id
4.1e-33  117.5  XP_011536397.1
4.1e-33  117.5  XP_011536398.1
4.1e-33  117.5  XP_016874592.1
4.4e-33  117.4  NP_001269222.1
9.1e-33  116.4  NP_001229942.1
5.1e-33  117.2  NP_001269221.1
5.4e-33  117.1  NP_009119.2
5.7e-33  117.1  NP_001269220.1
3.2e-32  114.6  XP_011516646.1
1.7e-31  112.3  XP_024306299.1
1.8e-17  66.7  NP_001338229.1
1.8e-17  66.7  XP_024309392.1
1.8e-17  66.7  XP_024309393.1
1.7e-17  66.9  NP_001338228.1
5.3e-30  107.4  NP_071882.1
5.3e-30  107.4  NP_001344250.1
5.3e-30  107.4  XP_011531331.1
5.3e-30  107.4  XP_011531332.1
8.2e-30  106.8  XP_011528109.1
8.2e-30  106.8  NP_997511.1
8.7e-30  106.7  NP_997512.1
8.8e-30  106.7  NP_997510.1
8.7e-30  106.7  NP_058198.2
9e-30  106.7  NP_004906.3
9e-30  106.7  NP_997057.1
9.2e-30  106.6  XP_011528108.1
1.1e-29  106.3  XP_024307909.1
4.2e-29  104.5  XP_011513444.1
4.2e-29  104.5  XP_011513443.1
4.3e-29  104.5  XP_016867257.1
4.4e-29  104.5  XP_016867256.1
4.4e-29  104.4  XP_011513441.1
4.4e-29  104.4  XP_011513440.1
3.9e-29  104.6  XP_011513446.1
3.9e-29  104.6  XP_011513445.1
4.5e-29  104.4  XP_011513439.1
2.1e-27  99.0  XP_006712137.1
2.6e-27  98.7  XP_011525936.1
2.6e-27  98.7  XP_011525937.1
2.6e-27  98.7  XP_016881632.1
2.9e-27  98.5  XP_011525935.1
2.9e-27  98.5  XP_006722680.1
6.1e-27  97.5  XP_005264537.1
6.8e-27  97.3  XP_006712136.1
7.1e-27  97.3  XP_011531326.1
8.1e-27  97.1  NP_071881.1
1.2e-26  96.6  XP_011541254.1
1.2e-26  96.5  NP_001335121.1
1.4e-26  96.3  NP_001135977.1
1.4e-26  96.3  NP_001335120.1
1.4e-26  96.3  NP_071452.2
5.1e-26  94.5  XP_016879897.1
7.8e-23  84.2  NP_001244315.1
8.8e-23  84.0  NP_001335914.1
8.8e-23  84.0  NP_001335915.1
8.8e-23  84.0  NP_001335917.1
8.8e-23  84.0  NP_001335918.1
8.8e-23  84.0  NP_004818.2
8.8e-23  84.0  XP_005263412.1
8.8e-23  84.0  XP_011530722.1
8.8e-23  84.0  NP_001335916.1
8.8e-23  84.0  XP_016864341.1
2.1e-23  86.0  NP_001288759.1
2.2e-23  85.9  XP_016875811.1
2.3e-23  85.9  XP_016875809.1
2.4e-23  85.8  NP_001098985.1
3.3e-22  82.1  XP_016878732.1
3.3e-22  82.1  XP_011531327.1
3.4e-21  78.8  NP_001157465.1
3.9e-21  78.6  NP_001157414.1
8.5e-21  77.5  XP_011531328.1
1.1e-20  77.1  XP_011520784.1
1.7e-20  76.6  XP_016878703.1
1.1e-20  77.2  XP_016871164.1
1.1e-20  77.2  XP_006717694.1
1.1e-20  77.2  XP_011537593.1
1e-19  74.1  XP_016866942.1
3.6e-19  72.3  XP_016874481.1
4.2e-19  72.0  NP_005155.1
4.2e-19  72.0  XP_011536329.1
2.5e-18  69.6  XP_016879292.1
2.5e-18  69.5  NP_001340535.1
2.5e-18  69.5  NP_001340536.1
2.5e-18  69.5  NP_001340537.1
2.5e-18  69.5  NP_001340538.1
2.8e-18  69.4  NP_001340531.1
2.8e-18  69.4  NP_001340532.1
2.8e-18  69.4  NP_001340533.1
2.8e-18  69.4  NP_001340534.1
2.8e-18  69.4  XP_016877028.1
2.8e-18  69.4  XP_016877029.1
2.8e-18  69.4  XP_016877030.1
2.8e-18  69.4  XP_016877031.1
2.8e-18  69.4  XP_024305446.1
2.8e-18  69.4  XP_024305447.1
4e-18  68.9  XP_016877023.1
4.7e-18  68.7  NP_001340528.1
4.7e-18  68.7  NP_001340529.1
4.7e-18  68.7  NP_001340530.1
5e-18  68.6  NP_001340527.1
5e-18  68.6  NP_064720.1
5e-18  68.6  XP_024305444.1
5e-18  68.6  XP_024305445.1
5.1e-18  68.5  NP_001340526.1
5.7e-18  68.4  XP_024305443.1
5.5e-18  68.4  NP_001340524.1
5.5e-18  68.4  NP_001340525.1
5.5e-18  68.4  XP_005267997.1
5.5e-18  68.4  XP_005267999.1
5.9e-18  68.3  NP_001340523.1
6.7e-18  68.1  NP_001340522.1
6.6e-18  68.2  XP_011535343.1
7.4e-18  68.0  NP_001340521.1
7.8e-18  67.9  NP_001340520.1
8.5e-18  67.8  NP_064730.1
8.9e-18  67.7  NP_005041.1
1.9e-17  66.7  XP_011540179.1
5.8e-17  65.1  NP_000024.2
6.5e-17  64.9  NP_002849.1
6.9e-17  64.9  XP_006710865.2
